Unnamed: 0,year,Observed Max Temp,Observed Min Temp,Max Observed Precipitation,month,0,D0,D1,D2,D3,D4,W0,W1,W2,W3,W4,Max Wind Speed,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,GIS_ACRES,Shape__Area,Shape__Length,Damage Inspection Date,Damage,Structure Type,# Units in Structure (if multi unit),Latitude,Longitude,Fuel Moisture Date,PERCENT
71,2003,73.82855988,52.83791733,14.99463983,3/1/03,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.54363233,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,3/19/03,138.0
72,2003,73.82855988,52.83791733,14.99463983,4/1/03,87.8,0.0,0.0,0.0,0.0,0.0,12.2,0.0,0.0,0.0,0.0,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,4/2/03,151.0
73,2003,73.82855988,52.83791733,14.99463983,4/1/03,87.8,0.0,0.0,0.0,0.0,0.0,12.2,0.0,0.0,0.0,0.0,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,4/23/03,153.0
74,2003,73.82855988,52.83791733,14.99463983,5/1/03,77.5,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,5/7/03,131.0
75,2003,73.82855988,52.83791733,14.99463983,5/1/03,77.5,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,5/21/03,138.0
76,2003,73.82855988,52.83791733,14.99463983,6/1/03,73.9,0.0,0.0,0.0,0.0,0.0,26.1,0.0,0.0,0.0,0.0,,113933,6/6/03,6/6/03,11.0,110.5337,663503.0273,5689.498809,inaccessible,inaccessible,unknown,1.0,,,6/4/03,137.0
77,2003,73.82855988,52.83791733,14.99463983,6/1/03,73.9,0.0,0.0,0.0,0.0,0.0,26.1,0.0,0.0,0.0,0.0,,113933,6/6/03,6/6/03,11.0,110.5337,663503.0273,5689.498809,inaccessible,inaccessible,unknown,1.0,,,6/18/03,121.0
78,2003,73.82855988,52.83791733,14.99463983,7/1/03,44.3,0.0,0.0,0.0,0.0,0.0,55.7,9.4,0.0,0.0,0.0,,136159,7/5/03,7/5/03,8.0,151.5897,904821.3438,5365.406353,inaccessible,inaccessible,unknown,1.0,,,7/9/03,113.0
79,2003,73.82855988,52.83791733,14.99463983,7/1/03,44.3,0.0,0.0,0.0,0.0,0.0,55.7,9.4,0.0,0.0,0.0,,136159,7/5/03,7/5/03,8.0,151.5897,904821.3438,5365.406353,inaccessible,inaccessible,unknown,1.0,,,7/23/03,90.0
80,2003,73.82855988,52.83791733,14.99463983,7/1/03,44.3,0.0,0.0,0.0,0.0,0.0,55.7,9.4,0.0,0.0,0.0,,150988,7/24/03,7/27/03,11.0,2038.864,12196543.04,23554.67518,inaccessible,inaccessible,unknown,1.0,,,7/9/03,113.0
81,2003,73.82855988,52.83791733,14.99463983,7/1/03,44.3,0.0,0.0,0.0,0.0,0.0,55.7,9.4,0.0,0.0,0.0,,150988,7/24/03,7/27/03,11.0,2038.864,12196543.04,23554.67518,inaccessible,inaccessible,unknown,1.0,,,7/23/03,90.0
