station,"Weather Station at Los Angeles International Airport, Los Angeles (LAX), California"
variable,Maximum Wind Speed
units,mph
record high,"34.7 on February 22, 1987"
record low,"6.9 on February 21, 2009"

date,value
2006-02-25T05:00Z,12.526843071
2006-02-26T05:00Z,15.8822479248
2006-02-27T05:00Z,26.1721553802
2006-02-28T05:00Z,19.4613456726
2006-03-01T05:00Z,14.7637796402
2006-03-02T05:00Z,20.8035087585
2006-03-03T05:00Z,13.6453113556
2006-03-04T05:00Z,14.7637796402
2006-03-05T05:00Z,13.6453113556
2006-03-06T05:00Z,29.9749450684
2006-03-07T05:00Z,22.8167495728
2006-03-08T05:00Z,24.1589126587
2006-03-09T05:00Z,25.277381897
2006-03-10T05:00Z,21.6982822418
2006-03-11T05:00Z,12.526843071
2007-02-19T05:00Z,14.9874725342
2007-02-20T05:00Z,14.9874725342
2007-02-21T05:00Z,23.0404453278
2007-02-22T05:00Z,24.1589126587
2007-02-23T05:00Z,14.9874725342
2007-02-24T05:00Z,21.9219760895
2007-02-25T05:00Z,23.0404453278
2007-02-26T05:00Z,26.3958492279
2007-02-27T05:00Z,21.9219760895
2007-02-28T05:00Z,19.6850395203
2007-03-01T05:00Z,18.3428783417
2007-03-02T05:00Z,11.4083747864
2007-03-03T05:00Z,12.7505369186
2007-03-04T05:00Z,14.9874725342
2007-03-05T05:00Z,13.8690052032
2007-03-06T05:00Z,18.3428783417
2007-03-07T05:00Z,12.7505369186
2007-03-08T05:00Z,18.3428783417
2007-03-09T05:00Z,13.8690052032
2007-03-10T05:00Z,12.7505369186
2007-03-11T05:00Z,12.7505369186
2008-02-20T05:00Z,12.7505369186
2008-02-21T05:00Z,21.9219760895
2008-02-22T05:00Z,12.7505369186
2008-02-23T05:00Z,18.3428783417
2008-02-24T05:00Z,13.8690052032
2008-02-25T05:00Z,16.1059417725
2008-02-26T05:00Z,14.9874725342
2008-02-27T05:00Z,13.8690052032
2008-02-28T05:00Z,12.7505369186
2008-02-29T05:00Z,11.4083747864
2008-03-01T05:00Z,12.7505369186
2008-03-02T05:00Z,16.1059417725
2008-03-03T05:00Z,11.4083747864
2008-03-04T05:00Z,13.8690052032
2008-03-05T05:00Z,12.7505369186
2008-03-06T05:00Z,17.2244091034
2008-03-07T05:00Z,16.1059417725
2008-03-08T05:00Z,12.7505369186
2008-03-09T05:00Z,13.8690052032
2008-03-10T04:00Z,14.9874725342
2008-03-11T04:00Z,12.7505369186
2009-02-19T05:00Z,12.7505369186
2009-02-20T05:00Z,10.2899065018
2009-02-21T05:00Z,6.9345026016
2009-02-22T05:00Z,12.7505369186
2009-02-23T05:00Z,12.7505369186
2009-02-24T05:00Z,13.8690052032
2009-02-25T05:00Z,16.1059417725
2009-02-26T05:00Z,14.9874725342
2009-02-27T05:00Z,12.7505369186
2009-02-28T05:00Z,17.2244091034
2009-03-01T05:00Z,11.4083747864
2009-03-02T05:00Z,13.8690052032
2009-03-03T05:00Z,14.9874725342
2009-03-04T05:00Z,19.6850395203
2009-03-05T05:00Z,24.1589126587
2009-03-06T05:00Z,13.8690052032
2009-03-07T05:00Z,14.9874725342
2009-03-08T05:00Z,11.4083747864
2009-03-09T04:00Z,17.2244091034
2009-03-10T04:00Z,13.8690052032
2009-03-11T04:00Z,16.1059417725
2010-02-19T05:00Z,17.2244091034
2010-02-20T05:00Z,27.7380104065
2010-02-21T05:00Z,25.277381897
2010-02-22T05:00Z,13.8690052032
2010-02-23T05:00Z,11.4083747864
2010-02-24T05:00Z,13.8690052032
2010-02-25T05:00Z,13.8690052032
2010-02-26T05:00Z,21.9219760895
2010-02-27T05:00Z,12.7505369186
2010-02-28T05:00Z,17.2244091034
2010-03-01T05:00Z,13.8690052032
2010-03-02T05:00Z,19.6850395203
2010-03-03T05:00Z,17.2244091034
2010-03-04T05:00Z,14.9874725342
2010-03-05T05:00Z,19.6850395203
2010-03-06T05:00Z,26.3958492279
2010-03-07T05:00Z,20.8035087585
2010-03-08T05:00Z,26.3958492279
2010-03-09T05:00Z,26.3958492279
2010-03-10T05:00Z,12.7505369186
2010-03-11T05:00Z,14.9874725342
2011-02-19T05:00Z,14.9874725342
2011-02-20T05:00Z,11.4083747864
2011-02-21T05:00Z,14.9874725342
2011-02-22T05:00Z,14.9874725342
2011-02-23T05:00Z,13.8690052032
2011-02-24T05:00Z,16.1059417725
2011-02-25T05:00Z,24.1589126587
2011-02-26T05:00Z,18.3428783417
2011-02-27T05:00Z,19.6850395203
2011-02-28T05:00Z,14.9874725342
2011-03-01T05:00Z,12.7505369186
2011-03-02T05:00Z,13.8690052032
2011-03-03T05:00Z,12.7505369186
2011-03-04T05:00Z,14.9874725342
2011-03-05T05:00Z,16.1059417725
2011-03-06T05:00Z,31.0934143066
2011-03-07T05:00Z,23.0404453278
2011-03-08T05:00Z,13.8690052032
2011-03-09T05:00Z,16.1059417725
2011-03-10T05:00Z,16.1059417725
2011-03-11T05:00Z,13.8690052032
2012-02-20T05:00Z,13.8690052032
2012-02-21T05:00Z,11.4083747864
2012-02-22T05:00Z,13.8690052032
2012-02-23T05:00Z,12.7505369186
2012-02-24T05:00Z,13.8690052032
2012-02-25T05:00Z,13.8690052032
2012-02-26T05:00Z,27.7380104065
2012-02-27T05:00Z,18.3428783417
2012-02-28T05:00Z,18.3428783417
2012-02-29T05:00Z,16.1059417725
2012-03-01T05:00Z,12.7505369186
2012-03-02T05:00Z,12.7505369186
2012-03-03T05:00Z,13.8690052032
2012-03-04T05:00Z,10.2899065018
2012-03-05T05:00Z,24.1589126587
2012-03-06T05:00Z,21.9219760895
2012-03-07T05:00Z,14.9874725342
2012-03-08T05:00Z,23.0404453278
2012-03-09T05:00Z,13.8690052032
2012-03-10T05:00Z,13.8690052032
2012-03-11T05:00Z,13.8690052032
2013-02-19T05:00Z,26.3958492279
2013-02-20T05:00Z,18.3428783417
2013-02-21T05:00Z,13.8690052032
2013-02-22T05:00Z,13.8690052032
2013-02-23T05:00Z,17.2244091034
2013-02-24T05:00Z,13.8690052032
2013-02-25T05:00Z,13.8690052032
2013-02-26T05:00Z,18.3428783417
2013-02-27T05:00Z,14.9874725342
2013-02-28T05:00Z,13.8690052032
2013-03-01T05:00Z,12.7505369186
2013-03-02T05:00Z,14.9874725342
2013-03-03T05:00Z,13.8690052032
2013-03-04T05:00Z,14.9874725342
2013-03-05T05:00Z,13.8690052032
2013-03-06T05:00Z,14.9874725342
2013-03-07T05:00Z,23.0404453278
2013-03-08T05:00Z,18.3428783417
2013-03-09T05:00Z,16.1059417725
2013-03-10T05:00Z,11.4083747864
2013-03-11T04:00Z,11.4083747864
2014-02-19T05:00Z,10.2899065018
2014-02-20T05:00Z,11.4083747864
2014-02-21T05:00Z,11.4083747864
2014-02-22T05:00Z,10.2899065018
2014-02-23T05:00Z,12.7505369186
2014-02-24T05:00Z,13.8690052032
2014-02-25T05:00Z,11.4083747864
2014-02-26T05:00Z,13.8690052032
2014-02-27T05:00Z,20.8035087585
2014-02-28T05:00Z,17.2244091034
2014-03-01T05:00Z,10.2899065018
2014-03-02T05:00Z,14.9874725342
2014-03-03T05:00Z,12.7505369186
2014-03-04T05:00Z,14.9874725342
2014-03-05T05:00Z,11.4083747864
2014-03-06T05:00Z,12.7505369186
2014-03-07T05:00Z,13.8690052032
2014-03-08T05:00Z,18.3428783417
2014-03-09T05:00Z,14.9874725342
2014-03-10T04:00Z,13.8690052032
2014-03-11T04:00Z,13.8690052032
2015-02-19T05:00Z,11.4083747864
2015-02-20T05:00Z,13.8690052032
2015-02-21T05:00Z,16.1059417725
2015-02-22T05:00Z,18.3428783417
2015-02-23T05:00Z,19.6850395203
2015-02-24T05:00Z,12.7505369186
2015-02-25T05:00Z,11.4083747864
2015-02-26T05:00Z,19.6850395203
2015-02-27T05:00Z,21.9219760895
2015-02-28T05:00Z,12.7505369186
2015-03-01T05:00Z,11.4083747864
2015-03-02T05:00Z,17.2244091034
2015-03-03T05:00Z,12.7505369186
2015-03-04T05:00Z,12.7505369186
2015-03-05T05:00Z,10.2899065018
2015-03-06T05:00Z,16.1059417725
2015-03-07T05:00Z,16.1059417725
2015-03-08T05:00Z,13.8690052032
2015-03-09T04:00Z,14.9874725342
2015-03-10T04:00Z,12.7505369186
2015-03-11T04:00Z,11.4083747864
2016-02-20T05:00Z,12.7505369186
2016-02-21T05:00Z,11.4083747864
2016-02-22T05:00Z,11.4083747864
2016-02-23T05:00Z,14.9874725342
2016-02-24T05:00Z,14.9874725342
2016-02-25T05:00Z,14.9874725342
2016-02-26T05:00Z,9.1714391708
2016-02-27T05:00Z,10.2899065018
2016-02-28T05:00Z,10.2899065018
2016-02-29T05:00Z,12.7505369186
