OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,DECADES,Shape__Area,Shape__Length
2466,2017,CA,CCO,LAC,WAGON,00184068,2017-06-22 00:00:00+00:00,2017-06-22 00:00:00+00:00,2.0,7.0,1.0,0.1805364,2010,1078.046875,154.415832407693
2467,2017,CA,CCO,LAC,BROWNS,00197749,2017-07-04 00:00:00+00:00,2017-07-05 00:00:00+00:00,8.0,7.0,1.0,0.03477105,2010,206.75,76.8444736800326
2468,2017,CA,CCO,LAC,VISTA,00224040,2017-07-29 00:00:00+00:00,2017-07-29 00:00:00+00:00,14.0,7.0,1.0,0.5557644,2010,3322.33203125,327.685859742429
2469,2017,CA,CCO,LAC,PALMS,00227042,2017-07-31 00:00:00+00:00,2017-07-31 00:00:00+00:00,14.0,7.0,1.0,2.911873,2010,17195.82421875,667.983315539701
2470,2017,CA,CCO,LAC,JOHNSON,00171906,2017-06-11 00:00:00+00:00,2017-06-11 00:00:00+00:00,7.0,7.0,1.0,38.81298,2010,232771.9453125,3727.66889737429
2471,2017,CA,CCO,LAC,CANYON,00197049,2017-07-04 00:00:00+00:00,2017-07-04 00:00:00+00:00,14.0,7.0,1.0,1.362349,2010,8033.296875,804.378836961196
2472,2017,CA,CCO,LAC,NEENACH,00192904,2017-06-30 00:00:00+00:00,2017-06-30 00:00:00+00:00,2.0,7.0,1.0,18.74323,2010,112692.73046875,1732.55656891096
2473,2017,CA,CCO,LAC,OLD,00212637,2017-07-18 00:00:00+00:00,2017-07-18 00:00:00+00:00,2.0,7.0,1.0,1.638321,2010,9747.8828125,621.700390963247
2474,2017,CA,CCO,LAC,HASLEY,00202478,2017-07-09 00:00:00+00:00,2017-07-09 00:00:00+00:00,8.0,1.0,1.0,1.342572,2010,8010.05859375,396.208921324656
2475,2017,CA,CCO,LAC,MARTINEZ,00298577,2017-10-05 00:00:00+00:00,2017-10-06 00:00:00+00:00,7.0,1.0,1.0,0.05247684,2010,313.05859375,84.9692708032463
2476,2017,CA,CCO,LAC,COYOTE,00324083,2017-10-29 00:00:00+00:00,2017-10-29 00:00:00+00:00,14.0,1.0,1.0,0.2426913,2010,1438.92578125,207.601785479195
2477,2017,CA,CCO,LAC,MEDLEY,00314882,2017-10-21 00:00:00+00:00,2017-10-21 00:00:00+00:00,14.0,1.0,1.0,0.02775379,2010,164.1484375,61.6310025173991
2478,2017,CA,CCO,LAC,TETON,00290730,2017-09-28 00:00:00+00:00,2017-09-28 00:00:00+00:00,14.0,7.0,1.0,0.3011239,2010,1777.46875,219.109806654465
2479,2017,CA,CCO,LAC,LEONA,00270836,2017-09-09 00:00:00+00:00,2017-09-09 00:00:00+00:00,11.0,1.0,1.0,0.139297,2010,834.13671875,136.421125774922
2480,2017,CA,CCO,LAC,ESCONDIDO,00241015,2017-08-13 00:00:00+00:00,2017-08-13 00:00:00+00:00,14.0,1.0,1.0,65.97264,2010,394057.0078125,3261.06603557647
2481,2017,CA,CCO,LAC,PARKMOR,00220731,2017-07-25 00:00:00+00:00,2017-07-25 00:00:00+00:00,14.0,1.0,1.0,1.132044,2010,6707.03125,322.580428171964
2482,2017,CA,CCO,LAC,TOWSLEY,00207488,2017-07-13 00:00:00+00:00,2017-07-15 00:00:00+00:00,8.0,7.0,1.0,35.99306,2010,214235.859375,2985.56062120632
2483,2017,CA,CCO,LAC,RODEO,00218382,2017-07-23 00:00:00+00:00,2017-07-23 00:00:00+00:00,14.0,1.0,1.0,61.10294,2010,361739.70703125,6777.39635565649
2484,2017,CA,CCO,LAC,GORMAN,00223518,2017-07-28 00:00:00+00:00,2017-07-28 00:00:00+00:00,14.0,7.0,1.0,149.61,2010,899961.0078125,6001.88563704616
2485,2017,CA,CCO,LAC,SIERRA,00255759,2017-08-27 00:00:00+00:00,2017-08-28 00:00:00+00:00,2.0,1.0,1.0,36.46341,2010,217830.67578125,2749.51960208942
2486,2017,CA,CCO,LAC,HACIENDA,00338819,2017-11-12 00:00:00+00:00,2017-11-12 00:00:00+00:00,14.0,1.0,1.0,0.247208,2010,1458.421875,212.624414426701
2487,2017,CA,CCO,LAC,SKYLINE,00339735,2017-11-13 00:00:00+00:00,2017-11-13 00:00:00+00:00,2.0,1.0,1.0,0.07016324,2010,415.279760499485,152.499434605055
2488,2017,CA,CCO,LAC,RAMBLA,00377553,2017-12-18 00:00:00+00:00,2017-12-18 00:00:00+00:00,2.0,1.0,1.0,0.1799399,2010,1063.47823938914,138.045665168854
2489,2017,CA,CCO,LAC,CREEK,00362189,2017-12-05 00:00:00+00:00,2017-12-05 00:00:00+00:00,14.0,7.0,1.0,15619.15,2010,92857036.046875,71990.6476738906
