OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,IRWINID,FIRE_NUM,COMPLEX_ID,DECADES,Shape__Area,Shape__Length
1470,2020,CA,CCO,LAC,PEAK,00238836,2020/08/11 00:00:00+00,2020/08/11 00:00:00+00,10,7,1,26.72971,,,{E229258B-1562-4318-999B-1BB127EF0C6E},,,2020,158808.44921875,1872.92443606597
1471,2020,CA,CCO,LAC,ROCK POOL,00244876,2020/08/16 00:00:00+00,2020/08/17 00:00:00+00,14,7,1,92.71667,,,{EEA6C880-3F62-4331-A118-A7F68479EA10},,,2020,548603.20703125,4264.61092839376
1472,2020,CA,CCO,LAC,WAVE,00307499,2020/10/10 00:00:00+00,2020/10/10 00:00:00+00,14,4,1,5.205859,,,{A8E6EF68-9151-4447-8AA2-D4F0752D59EA},,,2020,30752.69921875,1214.28639972654
1673,2019,CA,CCO,LAC,TOPANGA 2,,2019/11/16 00:00:00+00,2019/11/16 00:00:00+00,14,,1,3.962995,,,,,,2010,23451.6171875,680.19556732091
1716,2019,CA,CCO,LAC,LAKE 2,,2019/08/02 00:00:00+00,2019/08/02 00:00:00+00,14,,1,1.006445,,,,,,2010,5982.30460810661,274.182159948825
1778,2019,CA,CCO,LAC,TICK,,2019/10/24 00:00:00+00,2019/10/31 00:00:00+00,14,3,1,4581.739,"WFDSshape from GEOMAC, dat from CAL FIRE webS",,,,,2010,27336078.6953125,59174.7200961569
1790,2019,CA,CCO,LAC,MUREAU,,2019/10/30 00:00:00+00,2019/10/30 00:00:00+00,14,7,1,5.9004,,,,,,2010,34952.75,963.071018828235
2060,2018,CA,CCO,LAC,RAMBLA,00048048,2018/02/13 00:00:00+00,2018/02/13 00:00:00+00,11,1,1,0.02526989,,,{ABD7034F-3264-41D9-B43B-49C554A71B28},,,2010,149.3515625,62.4067150575034
2061,2018,CA,CCO,LAC,BRIDGE,00118530,2018/04/19 00:00:00+00,2018/04/20 00:00:00+00,11,1,1,7.767941,,,{D39B0CD0-16B7-419A-8CE4-D53979B885DA},,,2010,46535.18359375,1735.42714048899
2062,2018,CA,CCO,LAC,HEFFNER,00134007,2018/05/04 00:00:00+00,2018/05/05 00:00:00+00,14,1,1,17.8683,,,{9D0C681E-F12C-4F0A-8DFC-5D80D49212F9},,,2010,106552.078125,2311.12414602473
2063,2018,CA,CCO,LAC,COMMERCE,00136301,2018/05/06 00:00:00+00,2018/05/06 00:00:00+00,11,1,1,14.20331,,,{85BAF3EA-49EB-4C47-921A-ABC5D39EC27F},,,2010,84695.1796875,3047.44235824034
2064,2018,CA,CCO,LAC,SOUTH,00171655,2018/06/09 00:00:00+00,2018/06/12 00:00:00+00,14,7,1,175.1159,,,{E2DE7813-AA21-4312-8FBC-486565E09E39},,,2010,1042451.62890625,4169.41077632081
2065,2018,CA,CCO,LAC,VIEW,00157745,2018/05/27 00:00:00+00,2018/05/27 00:00:00+00,2,1,1,0.1131595,,,{95AB8469-10B4-45A8-AC67-133964272E47},,,2010,667.6484375,167.795439282033
2066,2018,CA,CCO,LAC,SUN,00184429,2018/06/21 00:00:00+00,2018/06/21 00:00:00+00,14,1,1,0.9127468,,,{B53440AA-38F4-4035-9594-ECC8529DA9BB},,,2010,5428.96875,543.806037284555
