0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
58.6,d_19261001,0,0,0,0,0,0,41.4,0,0,0,0
0,d_19261101,0,0,0,0,0,0,100,89.3,2.5,0,0
0,d_19261201,0,0,0,0,0,0,100,100,64.2,8.1,0
96.9,d_19270101,3.1,0,0,0,0,0,0,0,0,0,0
26.6,d_19270201,0,0,0,0,0,0,73.4,29.4,0,0,0
52.9,d_19270301,0,0,0,0,0,0,47.1,8.8,0,0,0
56.4,d_19270401,0,0,0,0,0,0,43.5,6.9,0,0,0
61.8,d_19270501,0,0,0,0,0,0,38.2,5.6,0,0,0
59.3,d_19270601,0,0,0,0,0,0,40.7,5.9,0,0,0
48,d_19270701,0,0,0,0,0,0,52,13.1,0,0,0
85.5,d_19270801,0,0,0,0,0,0,14.5,0.2,0,0,0
73.7,d_19270901,0,0,0,0,0,0,26.3,1.5,0,0,0
6.1,d_19271001,0,0,0,0,0,0,93.9,55.4,8.8,0,0
65.7,d_19271101,30.5,0.2,0,0,0,0,3.8,1.9,0,0,0
75.1,d_19271201,0,0,0,0,0,0,25,10.1,2.7,0,0
48.1,d_19280101,49.3,8.7,0,0,0,0,2.6,0,0,0,0
72.1,d_19280201,27.8,0,0,0,0,0,0.2,0,0,0,0
22.3,d_19280301,77.7,3.7,0,0,0,0,0,0,0,0,0
12.3,d_19280401,87.8,26,0,0,0,0,0,0,0,0,0
13.9,d_19280501,86.1,18,0,0,0,0,0,0,0,0,0
16.9,d_19280601,83.1,11.6,0,0,0,0,0,0,0,0,0
4.6,d_19280701,95.4,65.1,0,0,0,0,0,0,0,0,0
5.9,d_19280801,94.1,27.3,0,0,0,0,0,0,0,0,0
0,d_19280901,100.1,93.8,0.9,0,0,0,0,0,0,0,0
61.3,d_19281001,38.7,3.8,0,0,0,0,0,0,0,0,0
32.7,d_19281101,67.3,46.3,0,0,0,0,0,0,0,0,0
