boundary,place
feature,"Los Angeles, California"
feature id,1477
center,"-118.4117, 34.0206"
scenario,Medium (RCP 4.5)
climate indicator,Minimum Temperature
units,°F

year,Modeled RCP 4.5 Range Min,Modeled RCP 4.5 Range Max,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
2088,54.2368240356,58.5925140381,,57.5374450684,55.1589050293,57.0900802612,56.8414077759
2089,53.6733856201,58.7415466309,,56.5811920166,54.6580924988,56.6231079102,56.8338775635
2090,53.3100700378,58.3151664734,,56.1671218872,55.5670471191,57.3736381531,55.5762748718
2091,53.9275588989,59.5839767456,,55.8408279419,56.6273918152,57.5247001648,55.6226921082
2092,53.6013717651,58.8575057983,,57.268661499,56.3821220398,56.5964126587,56.4761657715
2093,53.9295883179,57.998046875,,56.4551239014,56.2320480347,55.516784668,56.1065292358
2094,53.6664657593,58.7320976257,,55.7841911316,56.2947807312,57.992225647,55.9593658447
2095,53.5364990234,58.5387954712,,56.8762321472,56.6023979187,57.8061676025,56.4710540771
2096,53.3856582642,58.5283584595,,56.142288208,56.0982894897,56.8122367859,56.5266494751
2097,53.2544784546,59.2043991089,,56.8932037354,56.4662246704,58.2095336914,56.49061203
2098,53.5251274109,60.5873031616,,57.7296524048,56.6106376648,58.0234794617,56.2725334167
2099,52.690826416,59.3117904663,,57.4974517822,57.1750030518,56.2936820984,56.4078292847
2100,52.6620407104,59.3763885498,,58.4205780029,55.48179245,,
